,year,headline
1681514,2007.0,Sniffles That Precede a Recession
1689993,2007.0,Recession? What Recession?
1697344,2007.0,Are We In A Recession Yet?–At Least Some of Us May Be
1694783,2007.0,The Early Word: A Recession Could Shift ’08 Priorities
1693848,2007.0,Housing History Sends Recession Warning
1618705,2007.0,A Recession That Arrived on Cats’ Paws
1670166,2007.0,Recession Fear  Heightened as 4-Year Growth in Jobs Ends
1671169,2007.0,Recession: The Dirty Word on Wall Street’s Lips
1615874,2007.0,Housing and Recessions
1679251,2007.0,"Job Growth Looks Rosier, Easing Recession Fears"
1696835,2007.0,"Forecasters Say Madison Avenue Will Escape a Recession, Just Barely"
1704169,2007.0,Why we haven’t had a recession (so far)
1672458,2007.0,Double Warning That a Recession May Be on the Way
1678929,2007.0,Jobs Report Eases Recession Fears 
1702850,2007.0,How to Avoid Recession? Let the Fed Work
1700692,2007.0,Are We in a Recession?
1670509,2007.0,Unexpected Loss of Jobs Raises Risk of Recession
1630500,2007.0,Recession Pessimism
1618708,2007.0,"For Manufacturing, a Recession Has Arrived"
1780652,2008.0,"Shallow Recessions, Shallow Recoveries"
1804466,2008.0,Should Rich States Get Federal Aid During a Recession?
1811054,2008.0,Why Should Recession Stop the Recruiters?
1773498,2008.0,A Threat of Recession for Economies of Europe
1822302,2008.0,"In Season of Recession, New Ways to Celebrate"
1738636,2008.0,Google: No Recessionary Problems Here
1815215,2008.0,Trump Sees Act of God in Recession
1809882,2008.0,Which Part of the Economy Will Carry Us Through This Recession?
1759989,2008.0,War? Recession?  Not Here
1732025,2008.0,No Recession at Red Hat
1818837,2008.0,Recession Reflections
1813734,2008.0,It’s a Recession
1709103,2008.0,"As Talk of Recession Grows, Republicans and Democrats Differ on Response"
1805116,2008.0,Recession as a Marketing Strategy
1717948,2008.0,Postmodern recessions
1806329,2008.0,Lame Ducks and Recession Politics
1822693,2008.0,Small Business Weathers the Recession
1732626,2008.0,Does Recession Mean Doom for Restaurants?
1782758,2008.0,The un-recession
1725591,2008.0,Stocks Slide on Renewed Fears of Recession
1822342,2008.0,Japan Recession Fears Reinforced by New Data
1812107,2008.0,Recession Is the Mother of Invention
1736100,2008.0,Summers: Recession Is On
1814682,2008.0,Recession Trickles to India
1817458,2008.0,The Creativity of Recessions
1714148,2008.0,Casualties of the (Possibly) Upcoming Recession
1763698,2008.0,McCain: ‘I Would Imagine We Are’ in a Recession
1711089,2008.0,Stocks Plunge  Worldwide on Fears of a U.S. Recession 
1798788,2008.0,The Art of Recession
1718343,2008.0,White House Does Not See a Recession
1799913,2008.0,The Recession Bites
1812759,2008.0,A Prairie Home Recession
1718464,2008.0,Economists’ Tea Leaves Point to Recession
1761975,2008.0,Denmark: Economy Enters Recession
1796876,2008.0,Bleak Numbers Stoke Fears of Recession in Europe
1730694,2008.0,"You Say Recession, I Say ‘Reservations!’"
1709975,2008.0,World Recession?
1710794,2008.0,A Recession’s Impact Is All in the Timing
1816344,2008.0,America’s Team Is Falling Into Recession
1814032,2008.0,Officials Vow to Act Amid Forecasts of Long Recession
1713787,2008.0,An Iraq recession?
1711884,2008.0,Slipping Into a Recession?
1744719,2008.0,The Democratic Recession
1808913,2008.0,"Japan’s Economy, World’s Second Largest, Is in Recession"
1739818,2008.0,Online Advertising Is a Lagging Indicator of a Recession
1711819,2008.0,Sensing a U.S. Recession at Davos
1743483,2008.0,"‘Rough’ ‘Tough’ Times, but Still No ‘Recession’"
1799067,2008.0,The Recession Enters Its 2nd Year…
1807688,2008.0,France's Finance Minister on Recession
1800852,2008.0,More Evidence That the Recession Has Already Arrived
1793568,2008.0,"For Most Cities, Recession Has Arrived"
1817203,2008.0,"Even in Recession, Spend They Must: Luxury Shoppers Anonymous"
1799042,2008.0,First Birthday for the Recession?
1710565,2008.0,Job Data Passes Threshold Where Recessions Dwell
1770944,2008.0,More Arrows Seen Pointing to a Recession
1705180,2008.0,"Bad Start, Recession Near?"
1813955,2008.0,The Longest Recession Since …
1797083,2008.0,Bleak Numbers Stoke Fears of Recession in Europe
1735237,2008.0,"Insulated From Recession, but Not From Leaks"
1787792,2008.0,Make It a Rolls-Royce Recession
1813740,2008.0,December 2007: The Date the Recession (Officially) Began
1821635,2008.0,Yankees Defy Recession to Reel In Another Star
1818168,2008.0,What Recession? Accel Partners Raises $1 Billion
1815334,2008.0,Trump Sees Act of God in Recession
1733628,2008.0,Bernanke Nods at Possibility of a Recession
1741849,2008.0,History Hints a Recession Would Hit City Hard
1781508,2008.0,"Recessions, Good for Health"
1821424,2008.0,"For Craft Sales, the Recession Is a Help"
1723845,2008.0,Aloof From Recession
1708765,2008.0,Responding to Recession
1716986,2008.0,Do Recessions Save Lives?
1815807,2008.0,"A Placid North Dakota Asks, Recession? What Recession?"
1769464,2008.0,State Analysts Predict a Shallow Recession
1817455,2008.0,Recession? Accel Raises $1 Billion
1709693,2008.0,What Recession? PC Sales Stay Strong
1717370,2008.0,The W recession
1795180,2008.0,Isaac Mizrahi’s Luxury Guide to Recession Style
1808944,2008.0,Recession Is a Relative Term in Baseball
1817412,2008.0,What Recession? Accel Partners Raises $1 Billion
1756479,2008.0,The Recession in the Rearview Mirror
1717830,2008.0,Recession Hint Sends Stocks Down Sharply
1717560,2008.0,Recession Would Work in Democrats’ Favor
1810944,2008.0,Report Sees Positives in Recession Fallout
1770500,2008.0,Recession Spillover
1718330,2008.0,Economists’ Tea Leaves Point to Recession
1741400,2008.0,Recession Diet Just One Way to Tighten Belt
1794773,2008.0,Recession
1814497,2008.0,On the National Debt and the New Recession
1799280,2008.0,The Caffeine Recession
1819461,2008.0,No-Hype Review: Attendance in Times of Recession
1815938,2008.0,What Recession? We’re Ballplayers
1727543,2008.0,JPMorgan’s Dimon Says Recession May Be Upon U.S.
1814622,2008.0,"No Surprise, New York Is in Recession"
1799165,2008.0,Dear Prudence: Recession May Bring Return of Traditional Values
1814019,2008.0,Recession Fears Send Global Stocks Lower
1809523,2008.0,Mercedes Plans West Side Showroom (What Recession?)
1737541,2008.0,What Recession? Ultrarich Just Keep Spending
1820798,2008.0,Recession? Time to Slash the Flower Budget
1794272,2008.0,Global Fears of a Recession Grow Stronger
1807765,2008.0,German Economic Data Show Recession
1890562,2009.0,How Many Small Businesses Will Go Broke During the Recession?
1865824,2009.0,Footnotes: After the Great Recession
1941909,2009.0,Venture Capital Slims Down on the Recession Diet
1853103,2009.0,Recession? What Recession?!
1863491,2009.0,Manufacturing in an Economic Recession
1855612,2009.0,Recessions and the ‘Entrepreneurial Spirit’
1957757,2009.0,"For Children of the Recession, the Economy Hits Home"
1960645,2009.0,Letters: A Severe Recession by Any Other Name
1848149,2009.0,"Amid Recession, Broadway Hangs On"
1957512,2009.0,"Flush in a Recession, a Bronx Landlord Is Ready to Shop"
1918422,2009.0,Informatica’s Software Glue Sells in the Recession
1850422,2009.0,"In Recession and War, Celebrating St. Patrick’s Day"
1937272,2009.0,Flexible Work in a Recession
1824394,2009.0,"Recession, Taxes and Mr. Obama"
1890563,2009.0,How Many Small Businesses Will Go Broke During the Recession?
1838216,2009.0,The Recession Takes Down a Yacht Club
1875351,2009.0,"Despite Energy Reserves, Norway Slips Into Recession"
1843475,2009.0,"L.A. Dispatch: Recession, What Recession?"
1856030,2009.0,"Small Medical Companies, a Font of Innovation, Are Feeling Recession’s Pinch"
1879607,2009.0,Changing recessions
1907222,2009.0,Could the Recession Change the Taste of California Wine?
1872477,2009.0,Recession? Check. So Where's the Crime?
1953996,2009.0,Wages: A Comparison With Past Recessions
1855818,2009.0,Recession? Not in Albany
1825074,2009.0,Denver Aims to Ride Out the Recession
1916640,2009.0,Government Jobs Have Grown Since Recession
1864850,2009.0,"Portfolio Magazine Shut, a Victim of Recession"
1929728,2009.0,Recession Kids
1893094,2009.0,A Recession Measured by New-Home Sales
1947759,2009.0,U.K. Is Still in Recession as the Euro Bloc Improves
1873516,2009.0,Recession Slows Migration From Mexico
1851454,2009.0,Recession Adjustments: Per Se
1859582,2009.0,"Recession Pain, Even in Palm Beach"
1858662,2009.0,Recession Anxiety Seeps Into Everyday Lives
1912760,2009.0,The CO2 Shadow of the Recession
1823847,2009.0,"As Recession Deepens, So Does Milk Surplus"
1834344,2009.0,Recession Has Landlords of Retail Tenants Extending Discounts of Their Own
1837150,2009.0,Postponing a Baby in This Recession
1838801,2009.0,No Such Thing as a ‘Good’ Recession
1903214,2009.0,A Recession in Which the Cup Is Half Full
1860409,2009.0,Dealing With Recession-Related Stress
1908166,2009.0,"A $5 Pizza Slice: Recession, Recovery or Savvy Marketing?"
1926335,2009.0,"Keeping R.&D. Sacrosanct, Even in Recession"
1910992,2009.0,Birth Rate Is Said to Fall as a Result of Recession
1887388,2009.0,"Citing Recession, I.I.H.F. Calls Off Champions League for 2009-10"
1852268,2009.0,"The Recession, for Fun and Profit"
1868089,2009.0,E.U. Says Europe Faces Deep Recession
1905604,2009.0,"In Recession, Optimistic College Graduates Turn Down Jobs"
1844856,2009.0,Roaches and Mice Thrive in a Recession
1905446,2009.0,Leading Indicators Are Signaling the Recession’s End
1872985,2009.0,The Recession’s Effect on American Households
1834055,2009.0,How Will the Recession Affect Innovation?
1838301,2009.0,Financial Inquiries Expand as Recession Deepens
1962547,2009.0,Jobs Report Is Strongest Since the Start of the Recession
1839660,2009.0,"As the Recession Waxes, Business Meetings Wane"
1941908,2009.0,Venture Capital Slims Down on the Recession Diet
1921836,2009.0,Economic Recovery or Ski-Jump Recession?
1836793,2009.0,"In World of High-Glamour, Low-Pay Jobs, the Recession Has Its Bright Spots"
1961213,2009.0,Canada: Economy Out of Recession
1930681,2009.0,Great Recession Takes Great Toll on Value of Brand Names
1869265,2009.0,Will Prepaid’s Glow Extend Beyond the Recession?
1865312,2009.0,Recession Culture: Old Is the New New
1868201,2009.0,Recession Relief for Pâté Lovers
1858271,2009.0,"Too Old for Foster Care, and Facing the Recession"
1959241,2009.0,A Survey Shows Pain of Recession for Artists
1930911,2009.0,The Recession Is Over — for Now
1856172,2009.0,Recession Cuts Europe’s Carbon Emissions
1826998,2009.0,"Adding to Recession’s Pain, Thousands to Lose Jobless Benefits"
1880623,2009.0,Recession Wipes Out Hardware Upstarts
1884021,2009.0,Recession Hurts Williamsburg’s Trust-Funders
1883524,2009.0,"The Recession, Wal-Mart Style"
1961661,2009.0,Recession Creates a Captive Audience of Taxpayers
1912759,2009.0,CO2 Shadow of the Recession
1854743,2009.0,Cost Works Against Alternative and Renewable Energy Sources in Time of Recession
1947858,2009.0,City Focuses on Recession-Proof Health Care Jobs
1849014,2009.0,Obama Defends Agenda as More Than Recession
1827615,2009.0,Riding Out a Recession in Italian Luxury
1883156,2009.0,Comparing This Recession to Earlier Ones
1880640,2009.0,The Recession and Spirituality
1912804,2009.0,The CO2 Shadow of the Recession
1868021,2009.0,How Has the Recession Affected Dating?
1856898,2009.0,Comparing the Recession to Earlier Ones
1951114,2009.0,Innovation Spending Looks Recession-Resistant
1959697,2009.0,"In Holiday Season Adjusted for Recession, Chicago Finds a Tree to Fit"
1833652,2009.0,"At Reader’s Digest, Layoffs Are Part of ‘Recession Plan’"
1824266,2009.0,Education Recession
1840336,2009.0,Tipping and the Recession
1851453,2009.0,Recession Adjustments: Per Se
1839448,2009.0,DVF’s Antidote for the Recession
1863452,2009.0,Oil Prices Resist the World’s Recession Trend
1852559,2009.0,"Recession or Not, the Circus Comes to Town"
1846775,2009.0,Mother Jones Tests Nonprofit Model in Race to Survive the Recession
1833611,2009.0,"For Refugees, Recession Makes Hard Times Even Harder"
1909746,2009.0,How the Government Dealt With Past Recessions
1967523,2009.0,"Spared From Recession for Now, Soccer Lets Money and Hope Flow"
1824217,2009.0,"Drugstores, Too, Feel Recession Pain"
1837333,2009.0,10 Tips for Taxpayers Hit by the Recession
1929066,2009.0,‘Recession Is Probably Over’
1916806,2009.0,The Two-Track Economy: Inequality Emerging From Today’s Recession
1856314,2009.0,Small Medical Companies Feel Recession’s Pinch
2037928,2010.0,What Recession? Condo Prices That Held Up
2003617,2010.0,"U.S. Economist Dissents, Saying Recession Is Over"
1972681,2010.0,Comparing This Recession to Previous Ones: Job Losses
2029217,2010.0,The Fed and the 1938 Recession
2077236,2010.0,"Tax Deal Is Key to Avoid Recession, Obama Adviser Says"
2052890,2010.0,The Recession Has (Officially) Ended
2058656,2010.0,Science Fiction for the Great Recession
1978803,2010.0,Growth in British Economy Suggests End to Recession
2047712,2010.0,How to End the Great Recession
1984606,2010.0,"Spending Less in a Recession, and Talking About It, Too"
2048199,2010.0,"After Bargains of Recession, Air Fares Soar"
1986881,2010.0,Recession Slows the Increase in Rents in the Region
2002702,2010.0,Three Merchants Beat the Recession by Selling to Kids
2078056,2010.0,The Seven-Year Recessionary Itch
1972924,2010.0,Recession Refuge: Uncle Sam’s Payroll
2040828,2010.0,Recession Geography
2047813,2010.0,Comparing This Recession to Previous Ones: Job Changes
2082254,2010.0,Recession Creates Spike in Multifamily Households
2060067,2010.0,"Across the U.S., Long Recovery Looks Like Recession"
2072324,2010.0,Britain: Adviser Resigns After Remarks on Recession
1975353,2010.0,"A Recession, but Threats Persist"
2011712,2010.0,"Gen Art Folds, Victim of Recession"
2082938,2010.0,Global Stock Markets Fight to Return From Recession
2055787,2010.0,Census Shows How Recession Hit N.Y.
2011609,2010.0,"Gen Art Folds, a Victim of Recession"
2055281,2010.0,Most Americans Don’t Think Recession Is Over
1986333,2010.0,Union Jobs Hang On in the Recession
2039778,2010.0,What the Great Recession Has Done to Family Life
2056187,2010.0,Recession Is Still Pinching City’s Business Owners
2037890,2010.0,The ‘Great Recession’ Earns Its Title
2056138,2010.0,Recession Drove Many to Medicaid Last Year
2015964,2010.0,Why Recoveries Can Be as Difficult as Recessions
2055591,2010.0,"Recession Takes Toll on City, Census Survey Shows"
2003491,2010.0,"Recession Arbiters, Wary of Certifying an Upturn"
2056704,2010.0,"The Recession Is Over, but Pessimism Still Reigns"
1983167,2010.0,"In Midst of Recession, Bundesliga  Thrives"
1987736,2010.0,Another Recession Casualty: Cuban Cigars
2034778,2010.0,Fresh Start for a Rebirth Stalled by a Recession
2048478,2010.0,Potential for Double-Dip Recession Seems Small
2028836,2010.0,"Another Recession, or a Long, Slow Recovery?"
1995136,2010.0,"Hoping to Sell, Team Owners Face a New Opponent: Recession"
2020723,2010.0,Comparing This Recession to Previous Ones: Job Changes
2029595,2010.0,Comparing This Recession to Previous Ones: Job Changes
2009798,2010.0,"As Recession Ebbs, Many Still See Gloom"
2004609,2010.0,"Wall Street Must Recover Before City Can Overcome Recession, Economists Say"
2032587,2010.0,"A Double-Dip Recession? No, Thank You."
1983980,2010.0,How the Recession Made Us Stronger
2011960,2010.0,Comparing This Recession to Previous Ones: Job Changes
2040807,2010.0,"For Those With Jobs, a Recession With Benefits"
2019296,2010.0,Recession’s Toll on Black Wealth
2054508,2010.0,Recessions and Recoveries Are Not All the Same
2062463,2010.0,Europe Seen Avoiding Keynes’s Cure for Recession
1983186,2010.0,The Tiger Recession
1975587,2010.0,Figures Look at Families in Recession
2060216,2010.0,Wednesday Reading: Marriage Rates and the Recession
2016956,2010.0,"Recession Played a Part, but ShoreBank Wounded Itself, Too"
2038712,2010.0,Why It Still Feels Like a Recession
2048172,2010.0,"Prospering in a Recession, the Open Bucks a Trend"
2033115,2010.0,On the Heels of a Recession
2014162,2010.0,"Wall St. Slides, Fearing Return to a Recession"
2000761,2010.0,Comparing This Recession to Previous Ones: Job Changes
2006076,2010.0,Recession Adds to Appeal of Short-Term Jobs
2058088,2010.0,Elsewhere: Recession Lexicon
2039777,2010.0,Comparing This Recession to Previous Ones: Job Changes
2052226,2010.0,"In Great Recession, Other Nations Have Suffered More"
2057390,2010.0,Video Series: Small Business and the Recession
2041702,2010.0,Greek Recession Deepens Amid Spending Cuts
1984526,2010.0,Recession’s Silver Lining: U.S. Trade Deficit Is Down the Most on Record
2016300,2010.0,"In Blue Island Office, Seeing Recession’s Toll"
1991912,2010.0,Signs of a Thaw in the Wardrobe Recession
2003678,2010.0,Dissent on Recession’s End
2051752,2010.0,Recession Raises Poverty Rate to a 15-Year High
1982128,2010.0,Comparing This Recession to Previous Ones: Job Losses
2039527,2010.0,"Thomas Jane on ‘Hung,’ Symbol of the Recession"
2051956,2010.0,Recession Creates an Opening for Democrat in Texas
2010588,2010.0,Geography of a Recession
2054539,2010.0,A Recession’s Effect on Poverty
1987744,2010.0,Recession Tightens Grip on State Tax Revenues
2012078,2010.0,Students of the Great Recession
1970926,2010.0,"In Recession, Americans Doing More, Buying Less"
2052016,2010.0,The Recession’s Awful Impact
2038549,2010.0,Why It Still Feels Like a Recession
1999572,2010.0,Carbon Trading and the Great Recession
1983332,2010.0,Love in the Time of Recession
2059394,2010.0,Shubert Grants Grow Despite Recession
2053909,2010.0,"The Fed, Innovation and the Next Recession"
2053127,2010.0,"Recession May Be Over, but Joblessness Remains"
2079568,2010.0,Culture of Recession? Or Vice Versa?
1991451,2010.0,Comparing This Recession to Previous Ones: Job Losses
2055858,2010.0,Census Shows How Recession Hit N.Y.
2045774,2010.0,Corporate Profits Near Pre-Recession Peak
2001577,2010.0,A New Signal of the Recession’s End
1973143,2010.0,"Recession Spurs Interest in Graduate, Law Schools"
2058822,2010.0,Comparing Recessions: Job Recovery
2082255,2010.0,‘Doubling Up’ in Recession-Strained Quarters
2003022,2010.0,Older America Made Recession Look Better
1990578,2010.0,"In New York, Wall Street Bailout Softens the Blow of a Recession"
2000399,2010.0,Tech and Text: The Digital Recession
2029535,2010.0,"Despite Recession, the Met and Moma Have a Year of Increased Attendance"
1973841,2010.0,My Internal Debate: Am I Playing the Recession Right?
